date,room,start_time,end_time,topic,teacher,assistant,link_slide,link_lab,link_room
31-10-2022,Zillion,9:00:00 AM,10:00:00 AM,Computer setup,,,,,http://bit.ly/2UKjEoQ
31-10-2022,,10:00:00 AM,11:00:00 AM,Computer setup,,,,lab_md.html,
31-10-2022,,11:00:00 AM,12:00:00 PM,"Introduction to Bioinformatics, Conda - Pre-Read",,MS,,lab_rmd.html,
31-10-2022,,12:00:00 PM,12:30:00 PM,"Introduction to Bioinformatics, Conda - Pre-Read",,,,lab_rmdadv.html,
31-10-2022,,1:30:00 PM,2:30:00 PM,Welcome,,,,,
31-10-2022,,2:30:00 PM,3:30:00 PM,Introduction,,,,,
31-10-2022,,3:30:00 PM,4:30:00 PM,Introduction to Bioinformatics,Subarna,,slide_introduction.html,,
31-10-2022,,4:30:00 PM,5:30:00 PM,Software installation,Ahkam,,slide_software.html,,
01-11-2022,Zillion,9:00:00 AM,10:00:00 AM,,,,,,
,,10:00:00 AM,11:00:00 AM,,,,,,
,,11:00:00 AM,12:00:00 PM,,,,,,
,,12:00:00 PM,12:30:00 PM,,,,,,
,,1:30:00 PM,2:30:00 PM,,,,,,
,,2:30:00 PM,3:30:00 PM,,,,,,
,,3:30:00 PM,4:30:00 PM,,,,,,
,,4:30:00 PM,5:30:00 PM,,,,,,
